2.9000E+1	3.2174E+1	3.0604E+1
2.9250E+1	3.2215E+1	3.0649E+1
2.9500E+1	3.2271E+1	3.0673E+1
2.9750E+1	3.2335E+1	3.0731E+1
3.0000E+1	3.2411E+1	3.0755E+1
3.0250E+1	3.2470E+1	3.0837E+1
3.0500E+1	3.2507E+1	3.0858E+1
3.0750E+1	3.2591E+1	3.0880E+1
3.1000E+1	3.2649E+1	3.0948E+1
3.1250E+1	3.2693E+1	3.0983E+1
3.1500E+1	3.2766E+1	3.1019E+1
3.1750E+1	3.2832E+1	3.1076E+1
3.2000E+1	3.2871E+1	3.1092E+1
3.2250E+1	3.2940E+1	3.1147E+1
3.2500E+1	3.2988E+1	3.1198E+1
3.2750E+1	3.3064E+1	3.1239E+1
3.3000E+1	3.3121E+1	3.1298E+1
3.3250E+1	3.3195E+1	3.1311E+1
3.3500E+1	3.3252E+1	3.1359E+1
3.3750E+1	3.3319E+1	3.1419E+1
3.4000E+1	3.3368E+1	3.1451E+1
3.4250E+1	3.3432E+1	3.1477E+1
3.4500E+1	3.3497E+1	3.1530E+1
3.4750E+1	3.3537E+1	3.1573E+1
3.5000E+1	3.3616E+1	3.1644E+1
3.5250E+1	3.3696E+1	3.1676E+1
3.5500E+1	3.3745E+1	3.1718E+1
3.5750E+1	3.3823E+1	3.1755E+1
3.6000E+1	3.3895E+1	3.1822E+1
3.6250E+1	3.3960E+1	3.1862E+1
3.6500E+1	3.4009E+1	3.1878E+1
3.6750E+1	3.4067E+1	3.1929E+1
3.7000E+1	3.4132E+1	3.1998E+1
3.7250E+1	3.4199E+1	3.2058E+1
3.7500E+1	3.4282E+1	3.2099E+1
3.7750E+1	3.4322E+1	3.2139E+1
3.8000E+1	3.4384E+1	3.2178E+1
3.8250E+1	3.4460E+1	3.2241E+1
3.8500E+1	3.4522E+1	3.2281E+1
3.8750E+1	3.4599E+1	3.2331E+1
3.9000E+1	3.4661E+1	3.2381E+1
3.9250E+1	3.4718E+1	3.2444E+1
3.9500E+1	3.4784E+1	3.2469E+1
3.9750E+1	3.4855E+1	3.2540E+1
4.0000E+1	3.4933E+1	3.2567E+1
4.0250E+1	3.4993E+1	3.2611E+1
4.0500E+1	3.5050E+1	3.2661E+1
4.0750E+1	3.5132E+1	3.2720E+1
4.1000E+1	3.5195E+1	3.2775E+1
4.1250E+1	3.5261E+1	3.2839E+1
4.1500E+1	3.5325E+1	3.2877E+1
4.1750E+1	3.5404E+1	3.2920E+1
4.2000E+1	3.5483E+1	3.2973E+1
4.2250E+1	3.5558E+1	3.3032E+1
4.2500E+1	3.5636E+1	3.3070E+1
4.2750E+1	3.5683E+1	3.3126E+1
4.3000E+1	3.5764E+1	3.3173E+1
4.3250E+1	3.5833E+1	3.3216E+1
4.3500E+1	3.5911E+1	3.3267E+1
4.3750E+1	3.5974E+1	3.3325E+1
4.4000E+1	3.6052E+1	3.3396E+1
4.4250E+1	3.6140E+1	3.3448E+1
4.4500E+1	3.6173E+1	3.3489E+1
4.4750E+1	3.6287E+1	3.3547E+1
4.5000E+1	3.6321E+1	3.3598E+1
4.5250E+1	3.6392E+1	3.3649E+1
4.5500E+1	3.6493E+1	3.3715E+1
4.5750E+1	3.6563E+1	3.3755E+1
4.6000E+1	3.6661E+1	3.3840E+1
4.6250E+1	3.6713E+1	3.3873E+1
4.6500E+1	3.6803E+1	3.3928E+1
4.6750E+1	3.6834E+1	3.3995E+1
4.7000E+1	3.6933E+1	3.4030E+1
4.7250E+1	3.7013E+1	3.4092E+1
4.7500E+1	3.7083E+1	3.4155E+1
4.7750E+1	3.7157E+1	3.4232E+1
4.8000E+1	3.7234E+1	3.4288E+1
4.8250E+1	3.7314E+1	3.4328E+1
4.8500E+1	3.7377E+1	3.4400E+1
4.8750E+1	3.7456E+1	3.4442E+1
4.9000E+1	3.7505E+1	3.4509E+1
4.9250E+1	3.7608E+1	3.4554E+1
4.9500E+1	3.7660E+1	3.4624E+1
4.9750E+1	3.7762E+1	3.4679E+1
5.0000E+1	3.7842E+1	3.4746E+1
5.0250E+1	3.7900E+1	3.4825E+1
5.0500E+1	3.7985E+1	3.4851E+1
5.0750E+1	3.8085E+1	3.4927E+1
5.1000E+1	3.8129E+1	3.4983E+1
5.1250E+1	3.8231E+1	3.5059E+1
5.1500E+1	3.8317E+1	3.5090E+1
5.1750E+1	3.8385E+1	3.5174E+1
5.2000E+1	3.8452E+1	3.5228E+1
5.2250E+1	3.8565E+1	3.5283E+1
5.2500E+1	3.8609E+1	3.5361E+1
5.2750E+1	3.8700E+1	3.5416E+1
5.3000E+1	3.8772E+1	3.5460E+1
5.3250E+1	3.8872E+1	3.5531E+1
5.3500E+1	3.8936E+1	3.5595E+1
5.3750E+1	3.9037E+1	3.5652E+1
5.4000E+1	3.9101E+1	3.5727E+1
5.4250E+1	3.9186E+1	3.5771E+1
5.4500E+1	3.9267E+1	3.5847E+1
5.4750E+1	3.9354E+1	3.5900E+1
5.5000E+1	3.9426E+1	3.5976E+1
5.5250E+1	3.9521E+1	3.6055E+1
5.5500E+1	3.9576E+1	3.6088E+1
5.5750E+1	3.9655E+1	3.6165E+1
5.6000E+1	3.9744E+1	3.6228E+1
5.6250E+1	3.9826E+1	3.6297E+1
5.6500E+1	3.9920E+1	3.6352E+1
5.6750E+1	3.9996E+1	3.6426E+1
5.7000E+1	4.0076E+1	3.6485E+1
5.7250E+1	4.0139E+1	3.6552E+1
5.7500E+1	4.0254E+1	3.6624E+1
5.7750E+1	4.0339E+1	3.6691E+1
5.8000E+1	4.0423E+1	3.6771E+1
5.8250E+1	4.0483E+1	3.6847E+1
5.8500E+1	4.0556E+1	3.6902E+1
5.8750E+1	4.0653E+1	3.6951E+1
5.9000E+1	4.0750E+1	3.7005E+1
5.9250E+1	4.0810E+1	3.7114E+1
5.9500E+1	4.0912E+1	3.7175E+1
5.9750E+1	4.0989E+1	3.7227E+1
6.0000E+1	4.1077E+1	3.7321E+1
6.0250E+1	4.1151E+1	3.7385E+1
6.0500E+1	4.1243E+1	3.7444E+1
6.0750E+1	4.1334E+1	3.7512E+1
6.1000E+1	4.1398E+1	3.7570E+1
6.1250E+1	4.1474E+1	3.7660E+1
6.1500E+1	4.1545E+1	3.7726E+1
6.1750E+1	4.1646E+1	3.7795E+1
6.2000E+1	4.1737E+1	3.7894E+1
6.2250E+1	4.1813E+1	3.7972E+1
6.2500E+1	4.1894E+1	3.8037E+1
6.2750E+1	4.1998E+1	3.8125E+1
6.3000E+1	4.2054E+1	3.8182E+1
6.3250E+1	4.2140E+1	3.8254E+1
6.3500E+1	4.2242E+1	3.8328E+1
6.3750E+1	4.2312E+1	3.8415E+1
6.4000E+1	4.2405E+1	3.8483E+1
6.4250E+1	4.2494E+1	3.8552E+1
6.4500E+1	4.2571E+1	3.8617E+1
6.4750E+1	4.2651E+1	3.8709E+1
6.5000E+1	4.2750E+1	3.8811E+1
6.5250E+1	4.2849E+1	3.8864E+1
6.5500E+1	4.2909E+1	3.8950E+1
6.5750E+1	4.2989E+1	3.9046E+1
6.6000E+1	4.3089E+1	3.9129E+1
6.6250E+1	4.3161E+1	3.9190E+1
6.6500E+1	4.3268E+1	3.9284E+1
6.6750E+1	4.3348E+1	3.9374E+1
6.7000E+1	4.3429E+1	3.9454E+1
6.7250E+1	4.3518E+1	3.9529E+1
6.7500E+1	4.3596E+1	3.9591E+1
6.7750E+1	4.3700E+1	3.9694E+1
6.8000E+1	4.3790E+1	3.9794E+1
6.8250E+1	4.3874E+1	3.9875E+1
6.8500E+1	4.3961E+1	3.9936E+1
6.8750E+1	4.4053E+1	4.0012E+1
6.9000E+1	4.4156E+1	4.0136E+1
6.9250E+1	4.4215E+1	4.0216E+1
6.9500E+1	4.4307E+1	4.0294E+1
6.9750E+1	4.4415E+1	4.0370E+1
7.0000E+1	4.4500E+1	4.0457E+1
7.0250E+1	4.4575E+1	4.0553E+1
7.0500E+1	4.4704E+1	4.0661E+1
7.0750E+1	4.4773E+1	4.0734E+1
7.1000E+1	4.4878E+1	4.0829E+1
7.1250E+1	4.4987E+1	4.0915E+1
7.1500E+1	4.5063E+1	4.1033E+1
7.1750E+1	4.5163E+1	4.1114E+1
7.2000E+1	4.5251E+1	4.1201E+1
7.2250E+1	4.5341E+1	4.1299E+1
7.2500E+1	4.5436E+1	4.1372E+1
7.2750E+1	4.5530E+1	4.1500E+1
7.3000E+1	4.5610E+1	4.1593E+1
7.3250E+1	4.5707E+1	4.1691E+1
7.3500E+1	4.5824E+1	4.1776E+1
7.3750E+1	4.5906E+1	4.1877E+1
7.4000E+1	4.5999E+1	4.1976E+1
7.4250E+1	4.6089E+1	4.2061E+1
7.4500E+1	4.6194E+1	4.2151E+1
7.4750E+1	4.6296E+1	4.2238E+1
7.5000E+1	4.6386E+1	4.2347E+1
7.5250E+1	4.6466E+1	4.2452E+1
